packet_id,latency_cycles
0,9
1,9
2,9
3,9
4,8
5,8
6,8
7,8
8,8
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,8
27,8
28,8
29,8
30,8
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,8
41,8
42,8
43,9
44,8
45,7
46,7
47,7
48,7
49,6
50,7
51,6
52,7
53,6
54,7
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,7
63,8
64,8
65,8
66,9
67,8
68,8
69,8
70,8
71,7
72,9
73,8
74,9
75,9
76,9
77,9
78,9
79,9
80,8
81,8
82,8
83,12
84,9
85,8
86,8
87,8
88,8
89,8
90,9
91,8
92,8
93,8
94,8
95,8
96,8
97,9
98,9
99,9
100,8
101,8
102,8
103,8
104,8
105,8
106,9
107,8
108,8
109,9
110,9
111,9
112,8
113,13
114,8
115,8
116,8
117,9
118,8
119,8
120,9
121,9
122,9
123,9
124,8
125,8
126,8
127,8
128,8
129,9
130,8
131,8
132,8
133,8
134,8
135,8
136,8
137,8
138,9
139,8
140,8
141,9
142,9
143,9
144,9
145,8
146,8
147,9
148,8
149,8
150,8
151,8
152,8
153,10
154,9
155,8
156,8
157,8
158,8
159,8
160,8
161,9
162,8
163,8
164,10
165,10
166,9
167,9
168,10
169,15
170,9
171,8
172,8
173,8
174,8
175,9
176,9
177,7
178,7
179,6
180,6
181,7
182,6
183,6
184,6
185,6
186,7
187,6
188,6
189,6
190,6
191,6
192,7
193,9
194,6
195,6
196,6
197,6
198,7
199,6
200,7
201,6
202,6
203,6
204,6
205,6
206,6
207,6
208,7
209,7
210,10
211,6
212,6
213,6
214,7
215,6
216,7
217,7
218,6
219,6
220,7
221,6
222,7
223,6
224,7
225,6
226,7
227,6
228,6
229,6
230,7
231,6
232,6
233,6
234,6
235,6
236,6
237,6
238,6
239,6
240,6
241,6
242,6
243,7
244,6
245,7
246,6
247,6
248,6
249,6
250,6
251,7
252,6
253,7
254,6
255,6
256,6
257,6
258,6
259,6
260,6
261,7
262,6
263,6
264,7
265,6
266,6
267,6
268,6
269,6
270,6
271,6
272,6
273,6
274,7
275,7
276,6
277,6
278,6
279,6
280,6
281,6
282,6
283,6
284,6
285,7
286,6
287,6
288,6
289,6
